3953,file/ 3953.pdf,"[06-03-2025] Ph.D. viva notification of Mr. Shahid Yousuf Ganie, Department of Zoology",.pdf," 3953.pdf"
3952,file/ 3952.pdf,"[02-03-2025] PhD viva notification of Mr. Zahid Ahmad Mangral, PhD scholar, Department of Biotechnology,",.pdf," 3952.pdf"
3951,file/ 3951.pdf,"[19-02-2025] Viva voce examination of Mr. Aquib Majeed, Department of Zoology",.pdf," 3951.pdf"
3950,file/ 3950.pdf,[07-02-2025]  Readvertisement Notice for the engagement of Junior Research Assistant [ Development of Accent Based Automatic Speech Recognition (ASR) for Kashmiri Language],.pdf," 3950.pdf"
3948,file/ 3948.pdf,[06-02-2025] Extension of Date of Registration for Common University Entrance Test [CUET(PG)] - 2025.,.pdf," 3948.pdf"
3946,file/ 3946.pdf,[29-01-2025]  Postponed of pre submission presentation of Mr Khalid Mehraj and Mr Aabid Yousuf,.pdf," 3946.pdf"
3943,file/ 3943.pdf,[23-01-2025] Pre submission presentation of Mr. Khalid Mehraj research scholar Department of Management studies,.pdf," 3943.pdf"
3942,file/ 3942.pdf,[23-01-2025] Pre submission presentation of Aabid Yousuf Research scholar Department of Management studies,.pdf," 3942.pdf"
3941,file/ 3941.pdf,"[20-01-2025] Ph.D Result Notifications of Mr. Ghayas Ahmed, Department of Computer Science ",.pdf," 3941.pdf"
3940,file/ 3940.pdf,[16-01-2025] Phd Pre submission presentation of Mr. Ajaz Ahmed Dar,.pdf," 3940.pdf"
3938,file/ 3938.pdf,[03-01-2025] Ph.D Result Notification of Mr. Mukhtar Ahmed Department of Arabic,.pdf," 3938.pdf"
3937,file/ 3937.pdf,[03-01-2025] Ph.D Result Notification of Mr. Zahid Ahmad Naik Department of Islamic Studies,.pdf," 3937.pdf"
3936,file/ 3936.pdf,[03-01-2025] Ph.D Result Notification of Mr. Sajid Muneer Department of Urdu,.pdf," 3936.pdf"
3934,file/ 3934.pdf,[31-12-2024] Winter Vacations for Nursing College Kishtwar,.pdf," 3934.pdf"
3933,file/ 3933.pdf,[30-12-2024] Tentative Seniority List of Assistant Professors / Associate Professors.,.pdf," 3933.pdf"
3931,file/ 3931.pdf,"[19-12-2024] Ph.D Result Notification of Mr. Waheed Ahmed, Department of Arabic",.pdf," 3931.pdf"
3930,file/ 3930.pdf,"[19-12-2024] Ph.D Result Notification of Ms. Aasima Nazir, Department of Economics",.pdf," 3930.pdf"
3929,file/ 3929.pdf,"[19-12-2024] Ph.D Result Notification of Mr. Aejaz Hussain Parrey, Department of Zoology",.pdf," 3929.pdf"
3928,file/ 3928.pdf,[19-12-2024]  Pre-submission notice phd.pdf,.pdf," 3928.pdf"
3926,file/ 3926.pdf,[19-12-2024]  Circular on postponement of lab examination,.pdf," 3926.pdf"
3924,file/ 3924.pdf,[16-12-2024] Exam Postponement of BBA-SE-307 and BBA-F-3,.pdf," 3924.pdf"
